id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,yr_sold,yr_since_renovation,yr_since_built
7129300520,221900.0,3,1.0,1180,5650,1.0,0.0,3,7,0.0,1955,0.0,98178,47.5112,-122.257,2014,59.0,59
6414100192,538000.0,3,2.25,2570,7242,2.0,0.0,3,7,400.0,1951,1991.0,98125,47.721000000000004,-122.319,2014,23.0,63
5631500400,180000.0,2,1.0,770,10000,1.0,0.0,3,6,0.0,1933,0.0,98028,47.7379,-122.23299999999999,2015,82.0,82
2487200875,604000.0,4,3.0,1960,5000,1.0,0.0,5,7,910.0,1965,0.0,98136,47.5208,-122.39299999999999,2014,49.0,49
1954400510,510000.0,3,2.0,1680,8080,1.0,0.0,3,8,0.0,1987,0.0,98074,47.6168,-122.045,2015,28.0,28
7237550310,1230000.0,4,4.5,5420,101930,1.0,0.0,3,11,1530.0,2001,0.0,98053,47.6561,-122.005,2014,13.0,13
1321400060,257500.0,3,2.25,1715,6819,2.0,0.0,3,7,0.0,1995,0.0,98003,47.3097,-122.32700000000001,2014,19.0,19
2008000270,291850.0,3,1.5,1060,9711,1.0,0.0,3,7,0.0,1963,0.0,98198,47.4095,-122.315,2015,52.0,52
2414600126,229500.0,3,1.0,1780,7470,1.0,0.0,3,7,730.0,1960,0.0,98146,47.5123,-122.337,2015,55.0,55
3793500160,323000.0,3,2.5,1890,6560,2.0,0.0,3,7,0.0,2003,0.0,98038,47.3684,-122.031,2015,12.0,12
1736800520,662500.0,3,2.5,3560,9796,1.0,0.0,3,8,1700.0,1965,0.0,98007,47.6007,-122.145,2015,50.0,50
9212900260,468000.0,2,1.0,1160,6000,1.0,0.0,4,7,300.0,1942,0.0,98115,47.69,-122.292,2014,72.0,72
114101516,310000.0,3,1.0,1430,19901,1.5,0.0,4,7,0.0,1927,0.0,98028,47.7558,-122.229,2014,87.0,87
6054650070,400000.0,3,1.75,1370,9680,1.0,0.0,4,7,0.0,1977,0.0,98074,47.6127,-122.045,2014,37.0,37
